Device Name,Hostname,SysName,Reset Reason,Config Register,Type,Image Name,IP Address,Software Type,Software Version,Product ID,CBP Alerts,FN Vulnerable Alerts,Hardware EoX Alerts,PSIRT Vulnerable Alerts,Software Alerts
SITE11-3RD-93SW-01,SITE11-3RD-93SW-01,SITE11-3RD-93SW-01.net.com,Image Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.223,IOS-XE,17.9.5,C9300-48UXM,21,3,0,6,1
SITE11-3RD-IDF-94SW-01,SITE11-3RD-IDF-94SW-01,SITE11-3RD-IDF-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.94.224,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE12-3RD-93SW-01,SITE12-3RD-93SW-01,SITE12-3RD-93SW-01.net.com,Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.223.11,IOS-XE,17.9.5,C9300-48UXM,21,3,0,5,1
SITE13-22ND-94SW-01,SITE13-22ND-94SW-01,SITE13-22ND-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.191.11,IOS-XE,17.9.5,C9410R,23,2,3,5,1
SITE14-6TH-93SW-01,SITE14-6TH-93SW-01,SITE14-6TH-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.47.11,IOS-XE,17.9.5,C9300-48UXM,21,3,1,6,1
SITE15-2ND-94SW-01,SITE15-2ND-94SW-01,SITE15-2ND-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.15.11,IOS-XE,17.9.4a,C9410R,25,2,3,6,1
SITE16-21ST-94SW-01,SITE16-21ST-94SW-01,SITE16-21ST-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.127.13,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE16-23RD-94SW-01,SITE16-23RD-94SW-01,SITE16-23RD-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.127.11,IOS-XE,17.9.5,C9410R,25,2,2,5,1
SITE16-23RD-CORE-SW-01,SITE16-23RD-CORE-SW-01,SITE16-23RD-CORE-SW-01.net.com,ISSU,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.127.10,IOS-XE,17.9.5,C9500-40X,22,3,7,5,1
SITE17-6TH-94SW-01,SITE17-6TH-94SW-01,SITE17-6TH-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.94.11,IOS-XE,17.9.5,C9410R,24,2,2,5,1
